0 %, 1187 MiB, 114.75 W
0 %, 1187 MiB, 114.76 W
0 %, 1187 MiB, 114.72 W
0 %, 1187 MiB, 114.75 W
0 %, 1187 MiB, 114.75 W
0 %, 1187 MiB, 114.74 W
0 %, 1187 MiB, 114.74 W
0 %, 1187 MiB, 114.72 W
0 %, 1187 MiB, 114.69 W
0 %, 1187 MiB, 114.64 W
0 %, 1187 MiB, 114.68 W
0 %, 1187 MiB, 114.68 W
0 %, 1187 MiB, 114.66 W
0 %, 1187 MiB, 114.66 W
0 %, 1187 MiB, 114.65 W
0 %, 1187 MiB, 114.65 W
0 %, 1187 MiB, 114.66 W
0 %, 1187 MiB, 114.63 W
0 %, 1187 MiB, 114.62 W
0 %, 1187 MiB, 114.60 W
0 %, 1187 MiB, 114.60 W
0 %, 1187 MiB, 114.62 W
0 %, 1187 MiB, 114.57 W
0 %, 1187 MiB, 114.50 W
0 %, 1187 MiB, 114.57 W
0 %, 1187 MiB, 114.58 W
0 %, 1187 MiB, 114.52 W
0 %, 1187 MiB, 114.52 W
0 %, 1191 MiB, 114.11 W
0 %, 1189 MiB, 112.22 W
0 %, 1187 MiB, 110.65 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.54 W
0 %, 1187 MiB, 110.52 W
0 %, 1187 MiB, 110.47 W
0 %, 1187 MiB, 110.40 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.39 W
0 %, 1187 MiB, 110.42 W
0 %, 1187 MiB, 110.43 W
0 %, 1187 MiB, 110.37 W
0 %, 1187 MiB, 110.40 W
0 %, 1187 MiB, 110.41 W
0 %, 1187 MiB, 110.41 W
0 %, 1187 MiB, 110.45 W
0 %, 1187 MiB, 110.45 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.38 W
0 %, 1187 MiB, 110.40 W
0 %, 1187 MiB, 110.31 W
0 %, 1187 MiB, 110.32 W
0 %, 1187 MiB, 110.34 W
0 %, 1187 MiB, 110.31 W
0 %, 1187 MiB, 110.31 W
0 %, 1187 MiB, 110.33 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.40 W
0 %, 1187 MiB, 110.38 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.32 W
0 %, 1187 MiB, 110.34 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.33 W
0 %, 1187 MiB, 110.33 W
0 %, 1187 MiB, 110.33 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.40 W
0 %, 1187 MiB, 110.43 W
0 %, 1187 MiB, 110.42 W
0 %, 1187 MiB, 110.37 W
0 %, 1187 MiB, 110.34 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.36 W
0 %, 1187 MiB, 110.35 W
0 %, 1187 MiB, 110.33 W
0 %, 1191 MiB, 110.42 W
0 %, 1203 MiB, 110.52 W
0 %, 1189 MiB, 110.55 W
0 %, 1189 MiB, 110.68 W
1 %, 1201 MiB, 110.66 W
0 %, 1189 MiB, 110.56 W
0 %, 1189 MiB, 110.62 W
0 %, 1201 MiB, 110.66 W
0 %, 1189 MiB, 110.62 W
1 %, 1189 MiB, 110.81 W
1 %, 1201 MiB, 110.79 W
0 %, 1193 MiB, 110.56 W
0 %, 1189 MiB, 110.58 W
1 %, 1195 MiB, 110.62 W
0 %, 1193 MiB, 110.57 W
0 %, 1189 MiB, 110.57 W
0 %, 1189 MiB, 110.67 W
0 %, 1201 MiB, 110.74 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.55 W
0 %, 1187 MiB, 110.53 W
0 %, 1187 MiB, 110.52 W
0 %, 1187 MiB, 110.54 W
0 %, 1187 MiB, 110.55 W
0 %, 1187 MiB, 110.56 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.58 W
0 %, 1187 MiB, 110.56 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.58 W
0 %, 1187 MiB, 110.68 W
0 %, 1187 MiB, 110.75 W
0 %, 1187 MiB, 110.68 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.65 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.59 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.55 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.68 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.66 W
0 %, 1187 MiB, 110.63 W
0 %, 1187 MiB, 110.62 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.60 W
0 %, 1187 MiB, 110.57 W
0 %, 1187 MiB, 110.61 W
0 %, 1187 MiB, 110.70 W
0 %, 1187 MiB, 110.64 W
