timestamp_s,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
16.872000,51000.222656,-4527.368164,-8624.599609,-2596.088135,-3779.188232,17476.113281,33251.304688,3625.877686,-40315.683594,-66899.039062,-42900.976562,-68331.093750,-82017.671875,-66982.992188,-46053.667969,-62038.921875
16.880000,50992.175781,-4532.240723,-8629.494141,-2604.268799,-3784.061035,17446.609375,33230.832031,3504.150146,-40316.132812,-66904.648438,-42914.164062,-68317.054688,-82014.117188,-66989.429688,-46073.292969,-62062.925781
16.888000,50995.863281,-4529.424316,-8627.728516,-2607.844971,-3785.759766,17468.693359,33246.187500,3615.595947,-40316.421875,-66899.507812,-42899.546875,-68319.335938,-82016.015625,-66985.429688,-46057.625000,-62058.679688
16.896000,50992.062500,-4531.503418,-8628.399414,-2608.493164,-3784.843262,17443.255859,33230.292969,3500.774902,-40317.449219,-66903.601562,-42911.617188,-68319.695312,-82016.867188,-66987.664062,-46069.984375,-62051.281250
16.904000,50998.500000,-4530.721191,-8624.599609,-2602.525391,-3781.646973,17477.500000,33249.582031,3613.047852,-40313.382812,-66898.656250,-42900.664062,-68319.648438,-82012.257812,-66977.804688,-46059.210938,-62071.554688
16.912000,50988.777344,-4535.906738,-8629.785156,-2606.459229,-3787.302002,17439.769531,33222.582031,3501.199707,-40311.593750,-66900.000000,-42904.574219,-68318.109375,-82012.125000,-66981.984375,-46064.152344,-62036.507812
16.920000,51001.605469,-4532.933594,-8626.074219,-2608.761475,-3782.541016,17466.703125,33243.839844,3601.715332,-40306.429688,-66905.054688,-42900.796875,-68332.140625,-82009.265625,-66990.570312,-46067.214844,-62088.472656
16.928000,50975.433594,-4539.929688,-8641.564453,-2618.819824,-3795.370850,17426.359375,33213.105469,3500.730225,-40314.566406,-66902.882812,-42907.257812,-68313.148438,-82012.218750,-66993.054688,-46071.863281,-62029.445312
16.936000,50987.125000,-4539.952148,-8638.457031,-2625.078369,-3793.336914,17449.359375,33230.046875,3574.759277,-40316.824219,-66897.718750,-42912.332031,-68316.250000,-82013.179688,-66993.093750,-46075.574219,-62105.148438
16.944000,50991.167969,-4537.672363,-8634.724609,-2618.171631,-3781.378662,17434.091797,33219.832031,3503.166504,-40314.679688,-66902.546875,-42907.390625,-68327.156250,-82016.976562,-66998.703125,-46071.707031,-62038.652344
16.952000,50987.367188,-4536.152344,-8629.717773,-2611.779053,-3774.829590,17464.960938,33240.621094,3571.808838,-40311.839844,-66903.640625,-42911.304688,-68323.289062,-82005.218750,-66996.250000,-46069.316406,-62119.746094
16.960000,50970.316406,-4543.438965,-8646.056641,-2615.578857,-3788.509033,17433.623047,33210.109375,3524.534912,-40318.972656,-66901.164062,-42903.503906,-68316.718750,-82012.484375,-66997.921875,-46053.644531,-62015.183594
16.968000,50975.433594,-4539.795898,-8638.837891,-2610.616699,-3780.439941,17459.349609,33230.585938,3565.863281,-40318.949219,-66903.218750,-42918.679688,-68311.937500,-82008.218750,-66997.070312,-46060.886719,-62108.746094
16.976000,50961.886719,-4544.780273,-8649.252930,-2620.876221,-3792.889893,17435.232422,33208.343750,3528.602783,-40321.226562,-66899.601562,-42898.832031,-68321.148438,-82015.835938,-66994.773438,-46046.804688,-62008.230469
16.984000,50968.125000,-4540.354492,-8641.408203,-2617.366943,-3787.033691,17452.980469,33225.957031,3541.700928,-40320.019531,-66906.882812,-42916.578125,-68316.585938,-82011.078125,-66994.992188,-46064.218750,-62119.273438
16.992000,50965.843750,-4539.840332,-8644.448242,-2616.361084,-3788.173584,17441.513672,33216.613281,3543.578613,-40320.824219,-66904.109375,-42893.578125,-68311.828125,-82011.234375,-66991.328125,-46045.777344,-62011.093750
17.000000,50960.054688,-4541.181641,-8650.416016,-2616.785889,-3792.018066,17447.078125,33216.257812,3525.652344,-40319.128906,-66913.609375,-42914.945312,-68311.046875,-82006.429688,-66996.093750,-46068.039062,-62115.183594
17.008000,50956.277344,-4543.394531,-8651.913086,-2616.830566,-3790.744141,17440.910156,33209.683594,3550.485107,-40314.343750,-66895.664062,-42885.039062,-68300.046875,-82005.601562,-66980.867188,-46039.476562,-62003.269531
17.016000,50960.343750,-4540.578125,-8645.453125,-2611.510742,-3781.020996,17449.806641,33217.664062,3513.068359,-40298.832031,-66892.046875,-42898.675781,-68292.406250,-81983.718750,-66973.265625,-46046.269531,-62095.000000
17.024000,50961.550781,-4539.236816,-8643.598633,-2616.696289,-3780.596436,17451.236328,33218.113281,3563.359863,-40291.968750,-66874.609375,-42863.292969,-68288.335938,-81979.585938,-66957.984375,-46010.976562,-61988.742188
