/workspace/anima/train_carving_dirJ.py:296: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 6400, "ce_masked": 1.034993, "l_denoise": 1.207378, "l_psi_ctl": 0.004836, "l_tension_route": 2.9e-05, "loss": 1.209811, "mask_rate_mean": 0.5272, "gn2": 7.62385, "lr": 5.85e-05, "wall_s": 781.23, "gpu_mem_gb": 9.68}
{"step": 6600, "ce_masked": 0.644845, "l_denoise": 0.853083, "l_psi_ctl": 0.008908, "l_tension_route": 0.000347, "loss": 0.857711, "mask_rate_mean": 0.5164, "gn2": 6.291024, "lr": 5.201e-05, "wall_s": 805.74, "gpu_mem_gb": 9.68}
{"step": 6800, "ce_masked": 0.913799, "l_denoise": 1.145236, "l_psi_ctl": 0.014095, "l_tension_route": 0.00203, "loss": 1.153299, "mask_rate_mean": 0.5137, "gn2": 5.763519, "lr": 4.63e-05, "wall_s": 830.33, "gpu_mem_gb": 9.68}
{"step": 7000, "ce_masked": 1.199758, "l_denoise": 1.399792, "l_psi_ctl": 0.011029, "l_tension_route": 0.000467, "loss": 1.40554, "mask_rate_mean": 0.4947, "gn2": 6.488191, "lr": 4.139e-05, "wall_s": 854.69, "gpu_mem_gb": 9.68}
{"step": 7200, "ce_masked": 0.835039, "l_denoise": 1.025608, "l_psi_ctl": 0.008872, "l_tension_route": 5.9e-05, "loss": 1.030074, "mask_rate_mean": 0.521, "gn2": 6.637684, "lr": 3.733e-05, "wall_s": 879.1, "gpu_mem_gb": 9.68}
{"step": 7400, "ce_masked": 0.233331, "l_denoise": 0.417485, "l_psi_ctl": 0.00801, "l_tension_route": 0.000221, "loss": 0.4216, "mask_rate_mean": 0.3992, "gn2": 2.397411, "lr": 3.414e-05, "wall_s": 903.4, "gpu_mem_gb": 9.68}
{"step": 7600, "ce_masked": 0.799016, "l_denoise": 0.974429, "l_psi_ctl": 0.011807, "l_tension_route": 0.000393, "loss": 0.980529, "mask_rate_mean": 0.55, "gn2": 8.635237, "lr": 3.185e-05, "wall_s": 927.77, "gpu_mem_gb": 9.68}
{"step": 7800, "ce_masked": 1.075061, "l_denoise": 1.27088, "l_psi_ctl": 0.01988, "l_tension_route": 0.002373, "loss": 1.282006, "mask_rate_mean": 0.5015, "gn2": 8.850322, "lr": 3.047e-05, "wall_s": 952.1, "gpu_mem_gb": 9.68}
{"step": 8000, "ce_masked": 1.471626, "l_denoise": 1.648116, "l_psi_ctl": 0.014459, "l_tension_route": 0.000515, "loss": 1.655603, "mask_rate_mean": 0.4764, "gn2": 6.458715, "lr": 3e-05, "wall_s": 976.4, "gpu_mem_gb": 9.68}
RESULT_JSON_WRITTEN
{"path": "dirJ_diffusion", "init_ce_masked": 5.692743, "final_ce_masked": 1.471626, "ce_descent": 4.221117, "final_l_denoise": 1.648116, "final_l_psi_ctl": 0.014459, "final_l_tension_route": 0.000515, "wall_s": 976.4}
