Warning: Permanently added '[157.90.56.162]:32783' (ED25519) to the list of known hosts.
Welcome to vast.ai. If authentication fails, try again after a few seconds, and double check your ssh key.
Have fun!
[INFO] device=cuda torch=2.5.1+cu121 cuda=True
[INFO] gpu=NVIDIA A100-SXM4-40GB
[INFO] cfg = {'vocab_size': 256, 'd_model': 512, 'n_head': 8, 'ffn_dim': 1536, 'max_seq': 128, 'n_layer': 1, 'initial_cells': 2, 'max_cells': 64, 'min_cells': 2, 'split_patience': 3, 'merge_threshold': 0.005, 'merge_patience': 30, 'noise_scale': 0.1, 'lorenz_scale': 0.05, 'adaptive_window': 100, 'readout_mode': 'a_minus_g', 'attention_sharing': 'auto', 'weight_tied_lm_head': True, 'dropout': 0.0, 'tie_pos_emb': True, 'dispersion_trigger_enabled': True, 'dispersion_top_quartile': 0.25, 'per_cell_threshold_enabled': True, 'per_cell_window': 100, 'per_cell_sigma_mult': 1.5, 'lorenz_auto_calibrate': True, 'lorenz_calibration_factor': 1.0}
[INFO] n_params(engine+router)=8,631,360  router_out_dim=64 top_k=4
[INFO] corpus=corpus/corpus_persona_balanced.txt bytes=1,300,270
[INFO] top_k=4 aux_alpha=0.01 λ_init=1.0 λ_final=0.01 sched=cosine
[STEP  2450] loss=-2.8599 ce=1.0514 aux=1.4030 ent_gate=4.1446/4.159 wmax=0.4623 active>.01=4.0/64 λ=0.9565 cells=64 splits=62 cost=$0.52
[STEP  2500] loss=-2.9376 ce=1.0516 aux=1.4110 ent_gate=4.1441/4.159 wmax=0.4664 active>.01=4.0/64 λ=0.9542 cells=64 splits=62 cost=$0.53
[STEP  2550] loss=-2.9544 ce=1.0142 aux=1.3930 ent_gate=4.1451/4.159 wmax=0.4617 active>.01=4.0/64 λ=0.9520 cells=64 splits=62 cost=$0.54
[STEP  2600] loss=-2.9340 ce=0.9843 aux=1.3861 ent_gate=4.1454/4.159 wmax=0.4597 active>.01=4.0/64 λ=0.9496 cells=64 splits=62 cost=$0.55
[STEP  2650] loss=-2.9872 ce=0.9731 aux=1.3801 ent_gate=4.1457/4.159 wmax=0.4588 active>.01=4.0/64 λ=0.9473 cells=64 splits=62 cost=$0.56
[STEP  2700] loss=-2.9687 ce=0.9602 aux=1.3895 ent_gate=4.1454/4.159 wmax=0.4583 active>.01=4.0/64 λ=0.9448 cells=64 splits=62 cost=$0.57
[STEP  2750] loss=-3.0112 ce=0.9358 aux=1.3946 ent_gate=4.1453/4.159 wmax=0.4569 active>.01=4.0/64 λ=0.9423 cells=64 splits=62 cost=$0.58
[STEP  2800] loss=-2.9411 ce=0.9080 aux=1.3994 ent_gate=4.1451/4.159 wmax=0.4576 active>.01=4.0/64 λ=0.9398 cells=64 splits=62 cost=$0.59
Read from remote host 157.90.56.162: Connection reset by peer
client_loop: send disconnect: Broken pipe
