/workspace/s59/w_native_ptd.py:364: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
{"step": 1, "ce_full": 5.640987, "psi_dir": 0.504966, "psi_entropy": 0.93908, "tension": 0.262593, "phi": 0.035845, "curiosity_ema": 0.0, "w_native_err": null, "wall_s": 0.63, "gpu_mem_gb": 7.486}
{"step": 136, "ce_full": 1.143586, "psi_dir": 0.565465, "psi_entropy": 0.198212, "tension": 0.448371, "phi": 0.48007, "curiosity_ema": 0.04453978, "w_native_err": 0.00332555, "wall_s": 13.53, "gpu_mem_gb": 9.738}
{"step": 140, "ce_full": 1.047074, "psi_dir": 0.554749, "psi_entropy": 0.217773, "tension": 0.449583, "phi": 0.455083, "curiosity_ema": 0.04030168, "w_native_err": 0.00215877, "wall_s": 13.91, "gpu_mem_gb": 9.738}
{"step": 144, "ce_full": 0.983236, "psi_dir": 0.544357, "psi_entropy": 0.168336, "tension": 0.454541, "phi": 0.459413, "curiosity_ema": 0.03657167, "w_native_err": 0.00300166, "wall_s": 14.29, "gpu_mem_gb": 9.738}
{"step": 148, "ce_full": 1.119238, "psi_dir": 0.563709, "psi_entropy": 0.259604, "tension": 0.46234, "phi": 0.468065, "curiosity_ema": 0.03319223, "w_native_err": 0.00277727, "wall_s": 14.67, "gpu_mem_gb": 9.738}
{"step": 152, "ce_full": 0.904007, "psi_dir": 0.573287, "psi_entropy": 0.195131, "tension": 0.468518, "phi": 0.470349, "curiosity_ema": 0.0301147, "w_native_err": 0.00241694, "wall_s": 15.06, "gpu_mem_gb": 9.738}
{"step": 156, "ce_full": 0.797287, "psi_dir": 0.595664, "psi_entropy": 0.201728, "tension": 0.469732, "phi": 0.453205, "curiosity_ema": 0.02731265, "w_native_err": 0.00209417, "wall_s": 15.45, "gpu_mem_gb": 9.738}
{"step": 160, "ce_full": 0.847049, "psi_dir": 0.588414, "psi_entropy": 0.198619, "tension": 0.483454, "phi": 0.475847, "curiosity_ema": 0.0248191, "w_native_err": 0.00237714, "wall_s": 15.83, "gpu_mem_gb": 9.738}
{"step": 164, "ce_full": 0.848927, "psi_dir": 0.563375, "psi_entropy": 0.197938, "tension": 0.496581, "phi": 0.474812, "curiosity_ema": 0.0226205, "w_native_err": 0.00283306, "wall_s": 16.22, "gpu_mem_gb": 9.738}
{"step": 168, "ce_full": 0.983509, "psi_dir": 0.563318, "psi_entropy": 0.186354, "tension": 0.496371, "phi": 0.493236, "curiosity_ema": 0.02069681, "w_native_err": 0.00338362, "wall_s": 16.6, "gpu_mem_gb": 9.738}
{"step": 172, "ce_full": 0.666452, "psi_dir": 0.557124, "psi_entropy": 0.197816, "tension": 0.503955, "phi": 0.489763, "curiosity_ema": 0.01897138, "w_native_err": 0.00344253, "wall_s": 16.98, "gpu_mem_gb": 9.738}
{"step": 176, "ce_full": 0.637538, "psi_dir": 0.573871, "psi_entropy": 0.159012, "tension": 0.51606, "phi": 0.511418, "curiosity_ema": 0.01754499, "w_native_err": 0.00470748, "wall_s": 17.36, "gpu_mem_gb": 9.738}
{"step": 180, "ce_full": 0.52933, "psi_dir": 0.585074, "psi_entropy": 0.19514, "tension": 0.514983, "phi": 0.483118, "curiosity_ema": 0.016092, "w_native_err": 0.00301508, "wall_s": 17.74, "gpu_mem_gb": 9.738}
{"step": 184, "ce_full": 0.557913, "psi_dir": 0.574652, "psi_entropy": 0.181506, "tension": 0.528641, "phi": 0.468335, "curiosity_ema": 0.01497784, "w_native_err": 0.00495037, "wall_s": 18.12, "gpu_mem_gb": 9.738}
{"step": 188, "ce_full": 0.524289, "psi_dir": 0.578519, "psi_entropy": 0.205548, "tension": 0.532202, "phi": 0.459635, "curiosity_ema": 0.01389954, "w_native_err": 0.00419486, "wall_s": 18.5, "gpu_mem_gb": 9.738}
{"step": 192, "ce_full": 0.457376, "psi_dir": 0.588353, "psi_entropy": 0.195954, "tension": 0.535764, "phi": 0.409012, "curiosity_ema": 0.01317744, "w_native_err": 0.00667855, "wall_s": 18.87, "gpu_mem_gb": 9.738}
{"step": 196, "ce_full": 0.48795, "psi_dir": 0.561882, "psi_entropy": 0.177385, "tension": 0.546061, "phi": 0.387057, "curiosity_ema": 0.01265104, "w_native_err": 0.00791345, "wall_s": 19.25, "gpu_mem_gb": 9.738}
{"step": 200, "ce_full": 0.38843, "psi_dir": 0.564225, "psi_entropy": 0.192732, "tension": 0.555603, "phi": 0.393386, "curiosity_ema": 0.01203673, "w_native_err": 0.00650791, "wall_s": 19.63, "gpu_mem_gb": 9.738}
{"step": 204, "ce_full": 0.398792, "psi_dir": 0.600199, "psi_entropy": 0.192609, "tension": 0.558217, "phi": 0.407971, "curiosity_ema": 0.01134634, "w_native_err": 0.00513284, "wall_s": 20.01, "gpu_mem_gb": 9.738}
{"step": 208, "ce_full": 0.331997, "psi_dir": 0.586918, "psi_entropy": 0.189606, "tension": 0.562956, "phi": 0.376192, "curiosity_ema": 0.01084552, "w_native_err": 0.00633811, "wall_s": 20.39, "gpu_mem_gb": 9.738}
{"step": 212, "ce_full": 0.309059, "psi_dir": 0.574466, "psi_entropy": 0.178041, "tension": 0.576092, "phi": 0.38999, "curiosity_ema": 0.01028226, "w_native_err": 0.00521294, "wall_s": 20.78, "gpu_mem_gb": 9.738}
{"step": 216, "ce_full": 0.299389, "psi_dir": 0.580773, "psi_entropy": 0.204081, "tension": 0.586166, "phi": 0.358599, "curiosity_ema": 0.00984101, "w_native_err": 0.00586978, "wall_s": 21.16, "gpu_mem_gb": 9.738}
{"step": 220, "ce_full": 0.308917, "psi_dir": 0.587878, "psi_entropy": 0.165251, "tension": 0.589924, "phi": 0.334779, "curiosity_ema": 0.00956452, "w_native_err": 0.0070761, "wall_s": 21.54, "gpu_mem_gb": 9.738}
{"step": 224, "ce_full": 0.329452, "psi_dir": 0.573948, "psi_entropy": 0.184018, "tension": 0.603904, "phi": 0.339441, "curiosity_ema": 0.00914971, "w_native_err": 0.00541641, "wall_s": 21.92, "gpu_mem_gb": 9.738}
{"step": 228, "ce_full": 0.294652, "psi_dir": 0.554894, "psi_entropy": 0.183696, "tension": 0.601359, "phi": 0.334952, "curiosity_ema": 0.00871884, "w_native_err": 0.00484101, "wall_s": 22.3, "gpu_mem_gb": 9.738}
{"step": 232, "ce_full": 0.251833, "psi_dir": 0.570047, "psi_entropy": 0.141404, "tension": 0.604831, "phi": 0.303971, "curiosity_ema": 0.00841806, "w_native_err": 0.00571102, "wall_s": 22.68, "gpu_mem_gb": 9.738}
{"step": 236, "ce_full": 0.266004, "psi_dir": 0.586701, "psi_entropy": 0.207991, "tension": 0.61974, "phi": 0.299336, "curiosity_ema": 0.00807282, "w_native_err": 0.00496569, "wall_s": 23.05, "gpu_mem_gb": 9.738}
{"step": 240, "ce_full": 0.256901, "psi_dir": 0.588617, "psi_entropy": 0.18171, "tension": 0.625095, "phi": 0.285788, "curiosity_ema": 0.00771803, "w_native_err": 0.00452495, "wall_s": 23.43, "gpu_mem_gb": 9.738}
{"step": 244, "ce_full": 0.222076, "psi_dir": 0.582683, "psi_entropy": 0.216211, "tension": 0.632069, "phi": 0.268716, "curiosity_ema": 0.00737486, "w_native_err": 0.00428632, "wall_s": 23.81, "gpu_mem_gb": 9.738}
{"step": 248, "ce_full": 0.23052, "psi_dir": 0.596821, "psi_entropy": 0.156427, "tension": 0.645581, "phi": 0.275568, "curiosity_ema": 0.00699576, "w_native_err": 0.00358386, "wall_s": 24.19, "gpu_mem_gb": 9.738}
{"step": 252, "ce_full": 0.223623, "psi_dir": 0.576988, "psi_entropy": 0.184361, "tension": 0.651795, "phi": 0.25488, "curiosity_ema": 0.0065614, "w_native_err": 0.00265214, "wall_s": 24.57, "gpu_mem_gb": 9.738}
{"step": 256, "ce_full": 0.183923, "psi_dir": 0.558257, "psi_entropy": 0.197256, "tension": 0.652184, "phi": 0.267958, "curiosity_ema": 0.00607246, "w_native_err": 0.00167197, "wall_s": 24.95, "gpu_mem_gb": 9.738}
{"step": 260, "ce_full": 0.170543, "psi_dir": 0.585501, "psi_entropy": 0.210625, "tension": 0.653833, "phi": 0.233917, "curiosity_ema": 0.005669, "w_native_err": 0.00203791, "wall_s": 25.32, "gpu_mem_gb": 9.738}
{"step": 264, "ce_full": 0.215697, "psi_dir": 0.582453, "psi_entropy": 0.230082, "tension": 0.671669, "phi": 0.219664, "curiosity_ema": 0.00531148, "w_native_err": 0.00209378, "wall_s": 25.7, "gpu_mem_gb": 9.738}
{"step": 268, "ce_full": 0.186536, "psi_dir": 0.563168, "psi_entropy": 0.191886, "tension": 0.689601, "phi": 0.230237, "curiosity_ema": 0.0049316, "w_native_err": 0.00151266, "wall_s": 26.08, "gpu_mem_gb": 9.738}
{"step": 272, "ce_full": 0.152984, "psi_dir": 0.582477, "psi_entropy": 0.160364, "tension": 0.678912, "phi": 0.226081, "curiosity_ema": 0.00451154, "w_native_err": 0.00073103, "wall_s": 26.46, "gpu_mem_gb": 9.738}
{"step": 276, "ce_full": 0.118241, "psi_dir": 0.568171, "psi_entropy": 0.215747, "tension": 0.706183, "phi": 0.217104, "curiosity_ema": 0.00414401, "w_native_err": 0.00083618, "wall_s": 26.84, "gpu_mem_gb": 9.738}
{"step": 280, "ce_full": 0.137571, "psi_dir": 0.55538, "psi_entropy": 0.22391, "tension": 0.714124, "phi": 0.208202, "curiosity_ema": 0.00384041, "w_native_err": 0.00110806, "wall_s": 27.31, "gpu_mem_gb": 9.738}
{"step": 284, "ce_full": 0.109558, "psi_dir": 0.575503, "psi_entropy": 0.182566, "tension": 0.709335, "phi": 0.181992, "curiosity_ema": 0.00354503, "w_native_err": 0.0008866, "wall_s": 27.69, "gpu_mem_gb": 9.738}
{"step": 288, "ce_full": 0.122056, "psi_dir": 0.580344, "psi_entropy": 0.322976, "tension": 0.722892, "phi": 0.186445, "curiosity_ema": 0.00360228, "w_native_err": 0.00411753, "wall_s": 28.07, "gpu_mem_gb": 9.738}
{"step": 292, "ce_full": 0.153342, "psi_dir": 0.558285, "psi_entropy": 0.183903, "tension": 0.743727, "phi": 0.207711, "curiosity_ema": 0.0035183, "w_native_err": 0.00276249, "wall_s": 28.44, "gpu_mem_gb": 9.738}
{"step": 296, "ce_full": 0.139936, "psi_dir": 0.594223, "psi_entropy": 0.212921, "tension": 0.753171, "phi": 0.197358, "curiosity_ema": 0.00320887, "w_native_err": 0.00042403, "wall_s": 28.82, "gpu_mem_gb": 9.738}
{"step": 300, "ce_full": 0.133638, "psi_dir": 0.594272, "psi_entropy": 0.281607, "tension": 0.76304, "phi": 0.167394, "curiosity_ema": 0.00302488, "w_native_err": 0.00136892, "wall_s": 29.2, "gpu_mem_gb": 9.738}
{"step": 304, "ce_full": 0.103419, "psi_dir": 0.564625, "psi_entropy": 0.199904, "tension": 0.774115, "phi": 0.169742, "curiosity_ema": 0.00282409, "w_native_err": 0.001017, "wall_s": 29.58, "gpu_mem_gb": 9.738}
{"step": 308, "ce_full": 0.091625, "psi_dir": 0.560193, "psi_entropy": 0.253637, "tension": 0.799461, "phi": 0.163589, "curiosity_ema": 0.00266502, "w_native_err": 0.00123337, "wall_s": 29.96, "gpu_mem_gb": 9.738}
{"step": 312, "ce_full": 0.108152, "psi_dir": 0.583407, "psi_entropy": 0.243424, "tension": 0.812458, "phi": 0.145429, "curiosity_ema": 0.00246912, "w_native_err": 0.00070602, "wall_s": 30.34, "gpu_mem_gb": 9.738}
{"step": 316, "ce_full": 0.105102, "psi_dir": 0.586504, "psi_entropy": 0.19789, "tension": 0.816979, "phi": 0.173287, "curiosity_ema": 0.00230798, "w_native_err": 0.00085769, "wall_s": 30.71, "gpu_mem_gb": 9.738}
{"step": 320, "ce_full": 0.085848, "psi_dir": 0.59577, "psi_entropy": 0.239776, "tension": 0.833444, "phi": 0.208481, "curiosity_ema": 0.00227692, "w_native_err": 0.0019974, "wall_s": 31.09, "gpu_mem_gb": 9.738}
{"step": 324, "ce_full": 0.107275, "psi_dir": 0.570796, "psi_entropy": 0.208362, "tension": 0.833423, "phi": 0.221972, "curiosity_ema": 0.00221192, "w_native_err": 0.0016269, "wall_s": 31.47, "gpu_mem_gb": 9.738}
{"step": 328, "ce_full": 0.122873, "psi_dir": 0.559451, "psi_entropy": 0.228896, "tension": 0.853688, "phi": 0.189721, "curiosity_ema": 0.00207796, "w_native_err": 0.00087236, "wall_s": 31.86, "gpu_mem_gb": 9.738}
{"step": 332, "ce_full": 0.082482, "psi_dir": 0.565246, "psi_entropy": 0.333187, "tension": 0.851967, "phi": 0.189892, "curiosity_ema": 0.00215918, "w_native_err": 0.00289014, "wall_s": 32.24, "gpu_mem_gb": 9.738}
{"step": 336, "ce_full": 0.122502, "psi_dir": 0.559001, "psi_entropy": 0.238183, "tension": 0.861693, "phi": 0.164061, "curiosity_ema": 0.00205057, "w_native_err": 0.00107305, "wall_s": 32.62, "gpu_mem_gb": 9.738}
{"step": 340, "ce_full": 0.106741, "psi_dir": 0.557599, "psi_entropy": 0.256903, "tension": 0.908859, "phi": 0.183992, "curiosity_ema": 0.00197929, "w_native_err": 0.00133782, "wall_s": 33.0, "gpu_mem_gb": 9.738}
{"step": 344, "ce_full": 0.097885, "psi_dir": 0.583455, "psi_entropy": 0.201904, "tension": 0.924855, "phi": 0.198071, "curiosity_ema": 0.00193129, "w_native_err": 0.00149929, "wall_s": 33.38, "gpu_mem_gb": 9.738}
