timestamp, utilization.gpu [%], memory.used [MiB]
2026/05/28 08:19:29.537, 0 %, 597 MiB
2026/05/28 08:19:34.538, 0 %, 597 MiB
2026/05/28 08:19:39.539, 0 %, 597 MiB
2026/05/28 08:19:44.540, 0 %, 597 MiB
2026/05/28 08:19:49.541, 0 %, 597 MiB
2026/05/28 08:19:54.542, 0 %, 597 MiB
2026/05/28 08:19:59.542, 0 %, 597 MiB
2026/05/28 08:20:04.543, 0 %, 597 MiB
2026/05/28 08:20:09.544, 2 %, 673 MiB
2026/05/28 08:20:14.545, 0 %, 673 MiB
2026/05/28 08:20:19.546, 3 %, 597 MiB
2026/05/28 08:20:24.547, 0 %, 597 MiB
2026/05/28 08:20:29.548, 0 %, 597 MiB
2026/05/28 08:20:34.548, 0 %, 597 MiB
2026/05/28 08:20:39.549, 0 %, 597 MiB
2026/05/28 08:20:44.550, 0 %, 597 MiB
2026/05/28 08:20:49.551, 0 %, 597 MiB
2026/05/28 08:20:54.552, 0 %, 597 MiB
2026/05/28 08:20:59.553, 0 %, 597 MiB
2026/05/28 08:21:04.553, 0 %, 597 MiB
2026/05/28 08:21:09.554, 0 %, 673 MiB
2026/05/28 08:21:14.555, 0 %, 675 MiB
2026/05/28 08:21:19.556, 2 %, 597 MiB
2026/05/28 08:21:24.557, 0 %, 597 MiB
2026/05/28 08:21:29.558, 0 %, 597 MiB
2026/05/28 08:21:34.559, 0 %, 597 MiB
2026/05/28 08:21:39.559, 0 %, 597 MiB
2026/05/28 08:21:44.560, 0 %, 597 MiB
2026/05/28 08:21:49.561, 0 %, 597 MiB
2026/05/28 08:21:54.562, 0 %, 597 MiB
2026/05/28 08:21:59.563, 0 %, 597 MiB
2026/05/28 08:22:04.564, 0 %, 597 MiB
2026/05/28 08:22:09.564, 0 %, 675 MiB
2026/05/28 08:22:14.565, 0 %, 675 MiB
2026/05/28 08:22:19.566, 0 %, 597 MiB
2026/05/28 08:22:24.567, 0 %, 597 MiB
2026/05/28 08:22:29.568, 0 %, 597 MiB
2026/05/28 08:22:34.569, 0 %, 597 MiB
2026/05/28 08:22:39.570, 0 %, 597 MiB
2026/05/28 08:22:44.570, 0 %, 597 MiB
2026/05/28 08:22:49.572, 0 %, 597 MiB
2026/05/28 08:22:54.572, 0 %, 597 MiB
2026/05/28 08:22:59.573, 0 %, 597 MiB
2026/05/28 08:23:04.574, 2 %, 675 MiB
2026/05/28 08:23:09.575, 0 %, 675 MiB
2026/05/28 08:23:14.576, 0 %, 597 MiB
2026/05/28 08:23:19.577, 2 %, 597 MiB
2026/05/28 08:23:24.578, 0 %, 597 MiB
2026/05/28 08:23:29.578, 2 %, 597 MiB
2026/05/28 08:23:34.579, 0 %, 597 MiB
2026/05/28 08:23:39.580, 0 %, 597 MiB
2026/05/28 08:23:44.581, 0 %, 0 MiB
2026/05/28 08:23:49.582, 0 %, 0 MiB
2026/05/28 08:23:54.583, 0 %, 0 MiB
2026/05/28 08:23:59.584, 0 %, 0 MiB
2026/05/28 08:24:04.584, 0 %, 0 MiB
2026/05/28 08:24:09.585, 0 %, 0 MiB
2026/05/28 08:24:14.586, 0 %, 0 MiB
2026/05/28 08:24:19.588, 0 %, 0 MiB
2026/05/28 08:24:24.589, 0 %, 0 MiB
2026/05/28 08:24:29.589, 0 %, 0 MiB
2026/05/28 08:24:34.590, 0 %, 0 MiB
2026/05/28 08:24:39.591, 0 %, 0 MiB
2026/05/28 08:24:44.592, 0 %, 0 MiB
2026/05/28 08:24:49.593, 0 %, 0 MiB
