H_630 — verdict landscape meta-map · RASTER #4 (2026-05-28, axis D2)
  source: UNIVERSE/H_*.md DISK per-file scan (8-source verdict + 2-source domain)

  N(H files) = 181  (H_238 self-excluded · disk scan)

  ── full H landscape (disk sort -V, deterministic) ──
  i   id      | tier      | vsrc            | dsrc            | canonical_domains
  170  H_618  | FALSIFIED  | top_emoji_label  | title_keyword  | consciousness+information
  171  H_619  | SUPPORTED  | verdict_class  | domain_frontmatter  | information+consciousness+physics+meta
  172  H_620  | SUPPORTED  | prose_verify_emoji  | title_keyword  | physics
  173  H_621  | SUPPORTED  | at_status  | title_keyword  | consciousness+information
  174  H_622  | PARTIAL  | top_emoji_label  | title_keyword  | physics
  175  H_623  | SUPPORTED  | verdict_class  | domain_frontmatter  | life+consciousness+information+meta
  176  H_624  | RUNNING  | status_fallback  | title_keyword  | consciousness
  177  H_625  | SUPPORTED  | top_emoji_label  | title_keyword  | consciousness
  178  H_626  | SUPPORTED  | top_emoji_label  | title_keyword  | consciousness
  179  H_627  | FALSIFIED  | verdict_class  | domain_frontmatter  | information+consciousness+physics+meta
  180  H_629  | FALSIFIED  | verdict_class  | domain_frontmatter  | information+physics+consciousness

  ── tier distribution ──
  SUPPORTED  : 77 / 181
  PARTIAL    : 30 / 181
  FALSIFIED  : 40 / 181
  RUNNING    : 34 / 181
  sum_tiers  : 181 (== N? true)
  SUPP/(SUPP+FAL) ratio = 0.65812

  ── 7-domain cluster (canonical) ──
  domain         | total | SUPP | PART | FALS | RUNN | SUPP_rate
  life  | 77 | 39 | 12 | 15 | 11 | 0.506494
  consciousness  | 105 | 44 | 18 | 26 | 17 | 0.419048
  physics  | 104 | 41 | 17 | 27 | 19 | 0.394231
  math  | 24 | 6 | 8 | 7 | 3 | 0.25
  information  | 40 | 18 | 7 | 13 | 2 | 0.45
  ethics  | 6 | 4 | 1 | 1 | 0 | 0.666667
  meta  | 36 | 18 | 9 | 7 | 2 | 0.5
  nonempty_domains : 7 / 7

  ── headline: life vs consciousness SUPP-rate ──
  life          SUPP-rate = 0.506494  (39/77)
  consciousness SUPP-rate = 0.419048  (44/105)
  life > consciousness : true
  gap_now   = 0.0874459
  gap_prior (raster#3 N=96) = 0.132727
  gap_delta = -0.0452811  (ε=0.02)
  TREND : closing

  ── F238.6 (pre-registered raster#4): life > consciousness at N≥120 ──
  F238.6 PASS (life_rate > consc_rate) : true

  ── H238.3 axis: SUPP rate {ethics+info+meta} vs {consc+phys} ──
